"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2009"	"2009"	Suppressed	54135	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2010"	"2010"	Suppressed	54571	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2011"	"2011"	Suppressed	55267	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2012"	"2012"	Suppressed	55514	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2013"	"2013"	Suppressed	55246	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2014"	"2014"	Suppressed	55395	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2015"	"2015"	Suppressed	55347	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2016"	"2016"	Suppressed	55416	Suppressed	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	"2009"	"2009"	12	179406	Unreliable	Unreliable	0.01%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	Suppressed	182265	Suppressed	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	"2011"	"2011"	Suppressed	186717	Suppressed	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	"2012"	"2012"	Suppressed	190790	Suppressed	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	"2013"	"2013"	Suppressed	195540	Suppressed	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	"2014"	"2014"	Suppressed	200111	Suppressed	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	"2015"	"2015"	Suppressed	203709	Suppressed	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	"2016"	"2016"	Suppressed	208563	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2009"	"2009"	Suppressed	27657	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2010"	"2010"	Suppressed	27457	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2011"	"2011"	Suppressed	27119	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2012"	"2012"	Suppressed	27201	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2013"	"2013"	Suppressed	27076	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2014"	"2014"	Suppressed	26887	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2015"	"2015"	Suppressed	26489	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	25965	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2009"	"2009"	Suppressed	22941	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2010"	"2010"	Suppressed	22915	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2011"	"2011"	Suppressed	22766	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2012"	"2012"	Suppressed	22597	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2013"	"2013"	Suppressed	22512	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2014"	"2014"	Suppressed	22506	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2015"	"2015"	Suppressed	22583	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2016"	"2016"	Suppressed	22643	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2009"	"2009"	Suppressed	57341	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2010"	"2010"	Suppressed	57322	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2011"	"2011"	Suppressed	57677	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2012"	"2012"	Suppressed	57826	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2013"	"2013"	Suppressed	57872	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2014"	"2014"	Suppressed	57719	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2015"	"2015"	Suppressed	57673	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2016"	"2016"	Suppressed	57704	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2009"	"2009"	Suppressed	10987	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2010"	"2010"	Suppressed	10914	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2011"	"2011"	Suppressed	10542	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2012"	"2012"	Suppressed	10474	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2013"	"2013"	Suppressed	10639	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2014"	"2014"	Suppressed	10764	Suppressed	Suppressed	Suppressed
